Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RESET1, SET1",SW_Push_SPST_NO_Alps_SKRK,3,SW_Push,
BT1,BAT_MS621FE-FL11E,1,MS621FE-FL11E,
BZ1,SPKR_PKMCS0909E4000-R1,1,PKMCS0909E4000-R1,
"C1, C19, C21, C8",0603,4,1uF,
"C10, C13",0402,2,15pF,
"C11, C18, C2, C20, C22, C24, C25, C27, C29, C3, C30, C39, C4, C6, C7",0402,15,100nF,
C12,0402,1,1uF,
"C14, C9",0402,2,18pF,
"C15, C17",0402,2,2.2uF,
"C16, C5",0603,2,10uF,
C23,0402,1,10pF,
"C26, C28",0603,2,22uF,
C31,0603,1,4.7uF,
"C32, C33, C34, C35, C36, C37",0805,6,10uF,
C38,1206,1,22uF,
D1,0603,1,D_Schottky,
"D2, D3",0603,2,LED,
D4,0603,1,LED,
FB1,0603,1,FerriteBead,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"J10, J16, J18, J5, J7, J9",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,6,Screw_Terminal_01x02,
J11,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det_Hirose_DM3AT,
"J12, J13, J14, J15",PinHeader_1x03_P2.54mm_Vertical,4,Conn_01x03,
"J17, J4, J6, J8",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,4,Conn_01x04,
"J19, J20, J21, J22, J23",PinHeader_1x02_P2.54mm_Vertical,5,Conn_01x02,
J2,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Conn_01x02,
J3,U.FL_Molex_MCRF_73412-0110_Vertical,1,Conn_Coaxial,
L1,IND_SRP4030FA_BRN,1,3.3uH,
"R1, R2",0402,2,5.1K,
R10,0402,1,30K,
"R11, R30, R5, R7, R9",0402,5,5K,
R12,0603,1,50K,
"R13, R14, R15, R3",0402,4,1K,
"R16, R18, R22, R23, R24, R25, R26, R27",0402,8,10K,
R17,0402,1,47,
R19,0402,1,33.2K,
"R20, R21",0402,2,27,
R28,0402,1,100,
R29,0603,1,13.2K,
"R31, R32",0603,2,1.2K,
"R33, R34",0402,2,4.7K,
R4,0402,1,23.7K,
R6,0603,1,60K,
R8,0603,1,4K,
U1,Rohm_MLGA010V020A_LGA-10_2x2mm_P0.45mm_LayoutBorder2x3y,1,BMP384,
U2,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSOTR,
U3,LGA-16_3x3mm_P0.5mm,1,MMC5983MA,
U4,ublox_NEO,1,NEO-M9N,
U5,IC_TPS2121RUXR,1,TPS2121RUXR,
U6,TSOT-23-6,1,AP62300TWU,
U7,LQFP-100_14x14mm_P0.5mm,1,STM32H723VGTx,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Q13FC13500004,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322525MOB4SI,
